"Accident Year","Accident Date/Time","Cause Category","Cause Subcategory","Net Loss (Barrels)","Barrel loss (%)","Pipeline Location","Pipeline Type","Liquid Type","Liquid Ignition","Liquid Explosion","Pipeline Shutdown","Shutdown_hours","Property Damage Costs","Lost Commodity Costs","Public/Private Property Damage Costs","Emergency Response Costs","Environmental Remediation Costs","Other Costs","All Costs"
2011,"3/21/2011 7:15","ALL OTHER CAUSES","MISCELLANEOUS",0,0,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",10.42,500,600,0,5500,0,1450,8050
2011,"3/21/2011 12:30","ALL OTHER CAUSES","MISCELLANEOUS",2,5,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",9,7500,200,3400,9940,24500,0,45540
2011,"3/22/2011 9:57","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,0,54,0,15000,5700,0,20754
2011,"3/23/2011 22:00","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","TRANSITION AREA","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,1200,37,0,0,0,0,1237
2011,"3/25/2011 5:10","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",9,90,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,14700,0,6700,4200,0,25600
2011,"3/28/2011 10:15","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0,0,"ONSHORE","TANK","CRUDE OIL","NO","NO","NO",0,4000,0,0,3000,500,0,7500
2011,"3/30/2011 0:55","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,4500,100,0,500,500,0,5600
2011,"3/30/2011 14:30","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","TANK","CRUDE OIL","NO","NO","NO",0,0,10,0,0,500,0,510
2013,"2/9/2013 13:00","CORROSION","INTERNAL",13,86.67,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,20000,1199,0,0,96699,0,117898
2011,"4/1/2011 13:15","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",1,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,5000,100,0,0,0,0,5100
2011,"4/3/2011 14:05","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,1500,200,0,1538,6887,0,10125
2014,"8/20/2014 8:30","CORROSION","INTERNAL",13,9.09,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,155059,0,0,818521,475,2189,976244
2010,"11/6/2010 11:00","CORROSION","EXTERNAL",10,50,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,25000,500,0,0,39600,0,65100
2011,"4/6/2011 12:44","MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",5.23,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",172.52,523867,35633,0,0,0,0,559500
2011,"4/7/2011 0:31","MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,392,30,0,2170,0,0,2592
2011,"4/10/2011 16:45","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO",NA,0,1500,100,0,3000,0,0,4600
2011,"4/11/2011 8:00","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,300,25,0,1500,0,0,1825
2011,"6/16/2011 6:00","CORROSION","INTERNAL",10,10,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",32.25,25000,915,0,15000,79973,0,120888
2011,"4/12/2011 14:20","MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",19.77,0,0,0,5200,20675,0,25875
2011,"4/13/2011 14:06","NATURAL FORCE DAMAGE","OTHER NATURAL FORCE DAMAGE",0.76,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",26.85,1840,102,0,630,0,0,2572
2011,"4/13/2011 18:58","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",2357,26.19,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",116.3,193000,350000,0,14885903,20300000,0,35728903
2011,"4/14/2011 12:35","MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",1.43,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,1000,110,0,20000,0,0,21110
2011,"4/19/2011 13:16","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",1,100,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",2.73,0,105,0,1309,0,0,1414
2011,"7/13/2011 12:10","CORROSION","INTERNAL",10,14.29,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",3.83,7057,945,0,14183,5355,0,27540
2011,"4/20/2011 20:05","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",15,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",3,13000,1125,1000,1000,25000,0,41125
2011,"4/21/2011 15:17","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",2,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",3.13,20000,150,1000,1000,25000,0,47150
2011,"4/24/2011 22:00","EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",0.9,90,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",57.92,35000,100,0,0,1000,0,36100
2011,"4/25/2011 14:00","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",4,1000,1301,0,25000,0,0,27301
2011,"10/3/2011 11:15","CORROSION","EXTERNAL",10,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",938.5,10000,2500,0,5000,0,0,17500
2011,"4/27/2011 15:00","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",1,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,5000,100,0,0,0,0,5100
2013,"10/5/2013 19:42","CORROSION","EXTERNAL",10,33.33,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",173.3,73503,1003,0,124515,67236,0,266257
2011,"4/29/2011 16:38","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",3,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,125,90,0,0,0,0,215
2011,"5/2/2011 9:30","MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",5.5,500,50,0,360,2000,0,2910
2014,"2/24/2014 17:04","CORROSION","INTERNAL",10,50,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,10675,1489,0,21713,172594,0,206471
2011,"5/3/2011 9:45","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.2,4.88,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,1500,700,0,1800,0,0,4000
2011,"5/3/2011 17:45","INCORRECT OPERATION","INCORRECT VALVE POSITION",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,0,18,0,0,0,50,68
2011,"5/4/2011 15:10","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",12,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",4.73,1291,1023,0,0,0,0,2314
2011,"5/7/2011 6:20","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO",NA,0,25000,40000,1000,250000,750000,250000,1316000
2011,"5/9/2011 19:15","INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",10,16.67,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,100,7500,0,184745,64690,0,257035
2011,"5/10/2011 4:30","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",1,100,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",2.83,500,105,0,0,2000,0,2605
2011,"5/10/2011 13:00","MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,0,25,0,200,5000,0,5225
2011,"5/12/2011 11:05","INCORRECT OPERATION","INCORRECT VALVE POSITION",5,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,0,0,0,0,0,0,0
2015,"5/31/2015 13:29","CORROSION","INTERNAL",10,16.67,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,5000,568,0,21488,100000,0,127056
2015,"10/15/2015 7:45","CORROSION","INTERNAL",10,100,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",11.2,10000,428,0,8200,104956,0,123584
2011,"5/17/2011 23:00","INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,0,0,1000,29000,0,30000
2011,"5/19/2011 9:30","INCORRECT OPERATION","OTHER INCORRECT OPERATION",0,0,"ONSHORE","UNDERGROUND","CRUDE OIL","YES","NO","NO",0,178000,10,0,0,0,0,178010
2011,"5/19/2011 16:05","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.8,5.33,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",4.42,1000,100,0,5000,2500,0,8600
2011,"5/22/2011 14:45","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",85,70.25,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,500,9775,0,5000,90534,0,105809
2015,"11/2/2015 9:30","CORROSION","EXTERNAL",10,50,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,0,380,250,390,12615,500,14135
2016,"7/25/2016 7:45","CORROSION","INTERNAL",10,20,"ONSHORE","TANK","CRUDE OIL","NO","NO","NO",0,760000,395,0,10000,3000,0,773395
2011,"5/26/2011 13:10","MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",3,75,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,200000,547,0,100000,115000,0,415547
2011,"5/29/2011 2:00","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO",NA,0,25000,8500,0,120000,180000,0,333500
2011,"5/29/2011 12:00","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0,0,"ONSHORE","TANK","CRUDE OIL","NO","NO","NO",0,33600,100,0,0,300,0,34000
2011,"5/30/2011 11:00","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.05,20,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO",NA,0,250,25,0,250,3000,0,3525
2011,"5/31/2011 10:00","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,500,65,0,1500,0,0,2065
2011,"5/31/2011 15:05","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,2000,50,0,0,15000,0,17050
2011,"6/1/2011 6:31","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",1,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,0,80,0,0,8000,0,8080
2011,"6/2/2011 3:14","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,7500,0,0,40,0,0,7540
2011,"4/12/2011 8:15","CORROSION","EXTERNAL",9.5,79.83,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",659.43,23000,0,0,10000,561361,0,594361
2011,"6/4/2011 7:30","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",7846,64.16,"ONSHORE","TANK","CRUDE OIL","NO","NO","NO",0,1000,706140,0,20000,633290,0,1360430
2011,"6/4/2011 22:05","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.36,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,0,30,0,0,25000,0,25030
2011,"6/9/2011 14:00","EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",40.88,20000,588,20000,57000,10000,0,107588
2011,"6/10/2011 7:45","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,13000,52,0,0,0,0,13052
2011,"6/10/2011 9:00","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,40,0,250,0,0,290
2011,"6/18/2011 18:00","CORROSION","INTERNAL",9,47.37,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,4645,2000,0,0,70620,0,77265
2011,"6/11/2011 1:10","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",1,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,1,42,0,0,0,0,43
2011,"6/12/2011 6:30","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"OFFSHORE",NA,"CRUDE OIL","NO","NO","YES",1083.75,1200000,0,0,150000,0,1050000,2400000
2011,"6/13/2011 11:08","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",20,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",1.37,100,1670,0,0,0,0,1770
2014,"9/24/2014 10:00","CORROSION","EXTERNAL",9,60,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,10000,2000,0,100000,650000,0,762000
2011,"6/13/2011 14:45","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,0,0,0,0,0,0,0
2011,"6/14/2011 12:16","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",33,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,40903,64929,0,3000,0,0,108832
2011,"6/15/2011 15:30","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",4.88,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,125,142,0,0,0,0,267
2014,"11/24/2014 7:20","CORROSION","INTERNAL",9,36,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO",NA,0,31800,700,0,0,9000,0,41500
2011,"6/16/2011 10:00","ALL OTHER CAUSES","MISCELLANEOUS",0.89,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,1500,86,0,0,0,0,1586
2011,"6/16/2011 13:55","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",2,16.67,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,100,1500,0,6000,5500,0,13100
2012,"7/13/2012 11:30","CORROSION","EXTERNAL",8.68,99.77,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,370115,0,0,10423,0,0,380538
2014,"6/20/2014 8:17","CORROSION","INTERNAL",8.6,72.27,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",34.8,150,1000,0,285000,250000,0,536150
2010,"12/30/2010 8:40","CORROSION","EXTERNAL",8.57,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",55.97,11355,660,0,12500,40000,0,64515
2010,"6/1/2010 10:00","CORROSION","EXTERNAL",8,1.57,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",6145.42,59400,600,0,40000,50000,0,150000
2010,"7/29/2010 16:30","CORROSION","INTERNAL",8,40,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,2150,850,5000,2000,35000,0,45000
2011,"6/21/2011 12:30","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.2,5,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,0,400,0,45000,0,0,45400
2011,"6/23/2011 0:00","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",1.12,48.7,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",0,0,350,0,74500,83250,0,158100
2011,"6/29/2011 8:41","MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",29.38,10000,325,3000,8000,130680,0,152005
2013,"10/23/2013 13:20","CORROSION","EXTERNAL",8,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,20000,336,0,0,0,0,20336
2011,"7/1/2011 13:23","MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.14,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",280.67,5000,20,5000,106417,0,516393,632830
2011,"7/1/2011 19:52","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",1,100,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",1.8,3600,92,0,300,0,0,3992
2011,"7/1/2011 22:40","NATURAL FORCE DAMAGE","HEAVY RAINS/FLOODS",1509,100,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",2024.2,5000000,150000,7500000,100000000,0,22350000,135000000
2015,"10/12/2015 11:30","CORROSION","EXTERNAL",8,47.06,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",52.18,12000,792,0,0,162000,0,174792
2011,"8/19/2011 9:44","CORROSION","INTERNAL",7.5,40.11,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",33.52,56000,617,0,131000,50000,4000,241617
2011,"7/6/2011 13:00","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",3.44,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,10,177,0,0,0,0,187
2011,"7/6/2011 15:31","MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",10,100,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",23.22,71000,750,0,13000,245000,0,329750
2013,"10/22/2013 12:29","CORROSION","EXTERNAL",7,100,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",19.5,2300,700,0,7000,0,0,10000
2011,"7/12/2011 6:40","ALL OTHER CAUSES","MISCELLANEOUS",0.28,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,52,26,0,700,0,0,778
2013,"10/28/2013 14:22","CORROSION","EXTERNAL",7,1.75,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",0,3762189,40000,1634497,5720325,78688,0,11235699
2013,"11/14/2013 12:00","CORROSION","INTERNAL",7,100,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",457,10000,632,0,5000,4000,0,19632
2011,"7/13/2011 15:00","MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.38,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,20000,100,0,0,0,0,20100
2011,"7/16/2011 19:40","NATURAL FORCE DAMAGE","HEAVY RAINS/FLOODS",100,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",1963,930000,6500,0,20000,0,0,956500
2011,"7/17/2011 1:06","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",2.6,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",18.18,820,448,0,100,0,0,1368
2011,"7/17/2011 9:20","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.74,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,10,38,0,100,0,0,148
2011,"7/17/2011 17:50","ALL OTHER CAUSES","MISCELLANEOUS",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",15,0,192,0,30000,0,0,30192
2011,"7/18/2011 20:20","EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",1967,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",64.72,125000,62178,0,1500,0,0,188678
2011,"7/19/2011 11:00","MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,2000,20,500,1500,700,0,4720
2011,"7/20/2011 11:00","INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO",NA,0,0,21,0,0,200,0,221
2011,"7/22/2011 12:30","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,2000,150,0,0,28000,0,30150
2011,"7/22/2011 15:32","INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",1.5,100,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",310.3,0,144,0,2394,1037,0,3575
2011,"7/22/2011 20:45","EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",627,78.08,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,167450,82340,0,0,4491597,0,4741387
2014,"8/2/2014 11:40","CORROSION","INTERNAL",6.7,67,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,25000,1000,0,10000,60000,0,96000
2010,"7/11/2010 8:15","CORROSION","EXTERNAL",6,100,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,6702,414,0,12728,23517,0,43361
2011,"7/24/2011 20:30","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,0,0,0,0,0,0,0
2011,"7/25/2011 10:30","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.17,5.67,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,50,0,7550,0,0,7600
2011,"7/26/2011 18:50","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",9,60,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",1.5,350,1500,0,20000,41200,0,63050
